"","date","tests","id","hosp","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","weekend","cs","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","error...30","error...31","error","p2.5_signal_deaths","p97.5_signal_deaths","mean_signal_deaths","p2.5_position_deaths","p97.5_position_deaths","mean_position_deaths","p2.5_growth_rate_deaths","p97.5_growth_rate_deaths","p25_growth_rate_deaths","p75_growth_rate_deaths","growth_rate_deaths","percentile_0_growth_rate_deaths","dispersion_deaths","z_score_growth_rate_deaths","country","state","county","deaths_pc"
"25",2020-02-29,NA,"SWE",1,0,NA,14,3,10175214,1,"Sweden",NA,NA,TRUE,0,4.30716055016146,8.21582676182836,5.94868766330087,1.60187603496346,2.23313860187748,1.91750731842047,0.2225496834976,0.348902787053447,0.263985051782838,0.30746741876821,0.285726235275524,3.85082938015157e-19,2.56856200794197,8.86425603832871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"26",2020-03-01,NA,"SWE",1,0,NA,14,NA,10175214,1,"Sweden",NA,NA,TRUE,0,3.06778576412494,5.49186261270764,4.10461422569704,1.92265746821022,2.4838096391818,2.20323355369601,0.222921565060172,0.339909313171031,0.261285723054056,0.301545155177148,0.281415439115602,2.0615386958738e-21,2.56856200794197,9.42943400940477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"27",2020-03-02,NA,"SWE",3,0,0,19,5,10175214,1,"Sweden",NA,NA,FALSE,0,7.32330182698595,12.3526611653636,9.51116533766737,2.23267478006989,2.73662320555333,2.48464899281161,0.221334539194612,0.3298588304126,0.256923249309074,0.294270120298138,0.275596684803606,1.20358443512675e-23,2.56856200794197,9.95462988813642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"28",2020-03-03,NA,"SWE",3,0,0,32,13,10175214,1,"Sweden",NA,NA,FALSE,0,16.1918591101103,26.1203042011639,20.565414791306,2.53085710363491,2.98963425159553,2.76024567761522,0.21713160681433,0.318188180802877,0.250271405070326,0.285048382546881,0.267659893808603,1.49126707804404e-25,2.56856200794197,10.3823775389443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"29",2020-03-04,NA,"SWE",3,0,0,62,30,10175214,1,"Sweden",NA,NA,FALSE,0,23.9786459651128,37.3561761051347,29.9290915571361,2.81570499653945,3.24010614630846,3.02790557142396,0.209577880692435,0.304258995002951,0.240626954523683,0.273209921171703,0.256918437847693,1.00481880308558e-26,2.56856200794197,10.6367756402681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"30",2020-03-05,NA,"SWE",6,0,0,87,25,10175214,1,"Sweden",NA,NA,FALSE,0,28.3198582719205,43.112164169626,34.9418141927344,3.08525306269012,3.48439495585317,3.28482400927165,0.198660902862564,0.28809379754125,0.227988911621671,0.258765788782143,0.243377350201907,7.22628001286714e-27,2.56856200794197,10.667458383458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"31",2020-03-06,NA,"SWE",7,0,0,146,59,10175214,1,"Sweden",NA,NA,FALSE,0,35.9090843607568,53.7526579023074,43.9341407931105,3.3376726000732,3.71873011887388,3.52820135947354,0.183766301912711,0.269043019420667,0.211731362498156,0.241077958835222,0.226404660666689,1.14968651298061e-25,2.56856200794197,10.4071778043596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"32",2020-03-07,NA,"SWE",7,0,NA,179,33,10175214,1,"Sweden",NA,NA,TRUE,0,30.6917314891386,45.4469352272026,37.3476255335942,3.57049688355253,3.9387151567279,3.75460602014022,0.165741638160624,0.247872200657936,0.192674970297145,0.220938868521415,0.20680691940928,2.79477221288622e-23,2.56856200794197,9.87048186377968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"33",2020-03-08,NA,"SWE",7,0,NA,225,46,10175214,1,"Sweden",NA,NA,TRUE,0,19.625532962884,28.8973782977977,23.8144168587928,3.78195496642654,4.14087091267242,3.96141293954948,0.14438489087639,0.224257014344387,0.17057760604114,0.198064299179638,0.184320952610389,7.41368920856341e-20,2.56856200794197,9.04602038925948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"34",2020-03-09,NA,"SWE",10,0,0,326,101,10175214,1,"Sweden",NA,NA,FALSE,0,41.4648261211997,60.47663599565,50.0764734776193,3.96980688678103,4.32166089753863,4.14573389215983,0.12162590591471,0.199939535521307,0.147307539314943,0.174257902121073,0.160782720718008,4.21290714635214e-16,2.56856200794197,8.0478543397026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"35",2020-03-10,NA,"SWE",14,0,0,424,98,10175214,1,"Sweden",NA,NA,FALSE,0,80.1866997071426,116.210796242326,96.5326899087107,4.13337154902266,4.47966167673301,4.30651661287783,0.100032103634985,0.177273952664279,0.125362264679639,0.151943791619624,0.138653028149632,9.85861838773778e-13,2.56856200794197,7.03646908860591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"36",2020-03-11,NA,"SWE",18,1,1,620,196,10175214,1,"Sweden",NA,NA,FALSE,1,102.78341506004,148.348772093108,123.481955830369,4.27425855354556,4.61608072850937,4.44516964102747,0.0797317439353597,0.156213699871188,0.104812710862109,0.131132732944439,0.117972721903274,7.4034578560709e-10,2.56856200794197,6.04645326493955,NA,NA,NA,0.574562592851673,1.83941462681313,1.02803639882596,-0.566649277569897,0.58732141562834,0.0103360690292214,0.151334961052993,0.305345157489566,0.201840006275018,0.254840112267542,0.22834005927128,3.09021766373146e-09,2.99999990743915,5.81180081260091,"Sweden",NA,NA,9.82780313023392e-08
"37",2020-03-12,NA,"SWE",15,1,0,771,151,10175214,1,"Sweden",NA,NA,FALSE,1,104.581540714971,150.511290175932,125.46195686979,4.39403877200542,4.73224595385606,4.56314236293074,0.0624045114450984,0.138319647581971,0.0872995993830447,0.113424559644025,0.100362079513535,1.09605517237592e-07,2.56856200794197,5.18226196434446,NA,NA,NA,0.781680808794278,2.23016222719952,1.32033140290602,-0.28008464761692,0.757436904217922,0.238676128300501,0.155360612865998,0.301383517418311,0.203246360488579,0.25349776979573,0.228372065142155,4.37853908854037e-10,2.99999990743915,6.13055909449197,"Sweden",NA,NA,9.82780313023392e-08
"38",2020-03-13,NA,"SWE",16,2,1,923,152,10175214,1,"Sweden",NA,NA,FALSE,2,114.13037840941,163.800320104379,136.728170166558,4.49587203130394,4.83113685358461,4.66350444244428,0.0486471721948195,0.124119962013393,0.0733972001216342,0.0993699340865787,0.0863835671041065,3.61818107209293e-06,2.56856200794197,4.48661513075486,NA,NA,NA,0.981770408818604,2.52165561200253,1.57343155589795,0.00179325438810901,0.932303132497207,0.467048193442658,0.159252228800357,0.297151817175048,0.204474071951701,0.251929974023705,0.228202022987703,4.38214979519943e-11,2.99999990743915,6.48686122310669,"Sweden",NA,NA,1.96556062604678e-07
"39",2020-03-14,NA,"SWE",18,3,1,994,71,10175214,1,"Sweden",NA,NA,TRUE,3,84.4169787451332,120.944782661501,101.043521055388,4.58347055039462,4.91630546870214,4.74988800954838,0.0387849818948088,0.113911525549023,0.0634214642344251,0.0892750432094068,0.076348253721916,3.39289792476066e-05,2.56856200794197,3.98367395327622,NA,NA,NA,1.27024914176836,2.96619764019629,1.94108475002373,0.27858177600563,1.11191865685509,0.695250216430358,0.162864964458537,0.29262524364487,0.205417658500631,0.250072549602776,0.227745104051704,2.99365099437345e-12,2.99999990743915,6.87995131323173,"Sweden",NA,NA,2.94834093907018e-07
"40",2020-03-15,NA,"SWE",23,5,2,1063,69,10175214,1,"Sweden",NA,NA,TRUE,5,47.257735819769,67.6679449551695,56.5493931546402,4.66085776229264,4.99161476424796,4.8262362632703,0.0320162368676946,0.106889260140458,0.056569581476004,0.0823359155321488,0.0694527485040764,0.000138369977260023,2.56856200794197,3.63615304271614,NA,NA,NA,1.69453691049884,3.63341780900129,2.48132234677732,0.549865380360582,1.29612526060352,0.92299532048205,0.165998639671651,0.287730192143556,0.205918448260901,0.247810383554306,0.226864415907604,1.38268133104814e-13,2.99999990743915,7.30535470095549,"Sweden",NA,NA,4.91390156511696e-07
"41",2020-03-16,NA,"SWE",26,7,2,1146,83,10175214,1,"Sweden",NA,NA,FALSE,7,88.7262570868242,126.653750043727,106.007137436071,4.73123635389036,5.06014166965839,4.89568901177437,0.0288956375252042,0.103590024050886,0.0533904012265449,0.0790952603495453,0.0662428307880451,0.000254102438014132,2.56856200794197,3.47639410717724,NA,NA,NA,2.30770071748754,4.58920320918585,3.25430599952345,0.815176622216707,1.48454285056263,1.14985973638967,0.168518191561965,0.282465049310214,0.205885140872058,0.245098100000121,0.225491620436089,4.34054340202948e-15,2.99999990743915,7.75722057815327,"Sweden",NA,NA,6.87946219116374e-07
"42",2020-03-17,NA,"SWE",46,8,1,1265,119,10175214,1,"Sweden",NA,NA,FALSE,8,155.785540334011,221.874865140956,185.916367629426,4.79829570809925,5.12556797702559,4.96193184256242,0.028852210768596,0.103405628260299,0.0533007460538918,0.0789570929750028,0.0661289195144473,0.000253549601885806,2.56856200794197,3.47697811704714,NA,NA,NA,2.82078068350134,5.26141780089548,3.85244152461735,1.07408231210466,1.67662040154681,1.37535135682574,0.170181747347256,0.276727311634895,0.205121567353066,0.241787491629085,0.223454529491076,1.00791578307566e-16,2.99999990743915,8.22113680495402,"Sweden",NA,NA,7.86224250418714e-07
"43",2020-03-18,NA,"SWE",65,14,6,1410,145,10175214,1,"Sweden",NA,NA,FALSE,14,185.442965628701,263.80889218204,221.182059230534,4.86511858319001,5.19100294096372,5.02806076207687,0.0308734901420291,0.105296202957143,0.0552791630340902,0.0808905300650823,0.0680848465495862,0.000167826652786428,2.56856200794197,3.58610542621941,NA,NA,NA,3.79182662544257,6.68183680136344,5.03352428128363,1.32609850041335,1.87151327222013,1.59880588631674,0.17054678047704,0.270195921342644,0.203225034788766,0.237517667030919,0.220371350909842,2.18323158243454e-18,2.99999990743915,8.66881354431858,"Sweden",NA,NA,1.37589243823275e-06
"44",2020-03-19,NA,"SWE",209,21,7,1553,143,10175214,1,"Sweden",NA,NA,FALSE,21,179.308166508262,254.908772287681,213.792480189964,4.93377248507647,5.25851873217643,5.09614560862645,0.0339720900476948,0.108264399380554,0.0583349993181204,0.0839014901101281,0.0711182447141243,8.75563463598814e-05,2.56856200794197,3.75245296680363,NA,NA,NA,4.94374111726766,8.3198597512467,6.41336360595114,1.57047916951542,2.06787530493775,1.81917723722658,0.169682386687338,0.263048337357554,0.200300174794235,0.232430549250657,0.216365362022446,5.23263981921181e-20,2.99999990743915,9.08400362277345,"Sweden",NA,NA,2.06383865734912e-06
"45",2020-03-20,NA,"SWE",267,30,9,1733,180,10175214,1,"Sweden",NA,NA,FALSE,30,189.865457169939,269.668307067891,226.275708828165,5.00535089499621,5.32917681168494,5.16726385334058,0.0371945583206163,0.111359214390887,0.0615156058575402,0.0870381668539629,0.0742768863557516,4.32102358881939e-05,2.56856200794197,3.92585983283227,NA,NA,NA,5.92975183418439,9.61692268071015,7.55155380733994,1.80671922412964,2.26436597436842,2.03554259924903,0.167616618503627,0.25539836960825,0.19640316258828,0.226611825523597,0.211507494055938,1.77789118270784e-21,2.99999990743915,9.444948764257,"Sweden",NA,NA,2.94834093907018e-06
