"","date","tests","id","hosp","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","weekend","cs","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","error...30","error...31","error","p2.5_signal_deaths","p97.5_signal_deaths","mean_signal_deaths","p2.5_position_deaths","p97.5_position_deaths","mean_position_deaths","p2.5_growth_rate_deaths","p97.5_growth_rate_deaths","p25_growth_rate_deaths","p75_growth_rate_deaths","growth_rate_deaths","percentile_0_growth_rate_deaths","dispersion_deaths","z_score_growth_rate_deaths","country","state","county","deaths_pc"
"35",2020-04-05,NA,"7270561f",NA,3646,425,68726,4452,8336817,3,"United States","New York","New York City",TRUE,3646,4301.85858989206,6050.29925839833,5101.71851792692,8.41364427515901,8.73288503947503,8.57326465731702,-0.0433421681900089,0.0532641129485981,-0.0116617683818941,0.0215837131404833,0.00496097237929461,0.420232770203068,2.8070907679837,0.201298033153036,NA,NA,NA,433.590237320969,905.621958248682,626.632938649195,6.06996451379783,6.73587504463766,6.40291977921774,0.00531959659469268,0.155408218179257,0.0545386275149054,0.106189187259045,0.0803639073869751,0.0179129405515425,1.03676099072371,2.09889813728001,"United States","New York","New York City",0.000437337175567126
"36",2020-04-06,NA,"7270561f",NA,4857,1211,73553,4827,8336817,3,"United States","New York","New York City",FALSE,4857,3843.50270173496,5404.03611524095,4557.45843746291,8.41860603351196,8.73784522588067,8.57822562969631,-0.04630002984722,0.0503055511262525,-0.0146198596464468,0.0186253809254792,0.00200276063951623,0.46761550140353,2.8070907679837,0.0812652578360685,NA,NA,NA,433.726038357696,903.232586599105,625.903739804456,6.15057205897516,6.81599531423428,6.48328368660472,-0.014509707952938,0.135496273750251,0.0346822226126061,0.0863043431847071,0.0604932828986566,0.0569619972870515,1.03676099072371,1.58079903803515,"United States","New York","New York City",0.000582596451379465
"37",2020-04-07,NA,"7270561f",NA,5631,774,78498,4945,8336817,3,"United States","New York","New York City",FALSE,5631,4077.55269847833,5734.26828660657,4835.47113794006,8.42060981150699,8.73984696916467,8.58022839033583,-0.0493421187068176,0.0472637262811383,-0.0176618619269494,0.0155834695012701,-0.00103919621283964,0.516817197320105,2.8070907679837,-0.0421669548108617,NA,NA,NA,514.876258204387,1072.91961830487,743.250185621834,6.21123111265477,6.87632282635198,6.54377696950338,-0.0331088462964935,0.116832709347414,0.0160619568300057,0.0676619062209146,0.0418619315254601,0.136890204616099,1.03676099072371,1.09439811746434,"United States","New York","New York City",0.000675437640048954
"38",2020-04-08,NA,"7270561f",NA,6441,810,83673,5175,8336817,3,"United States","New York","New York City",FALSE,6441,4504.63376202997,6334.17826719382,5341.64331241967,8.41957172910657,8.7388066591394,8.57918919412299,-0.0522692531789477,0.0443374293074616,-0.0205887217555933,0.0126568978841072,-0.00396591193574307,0.563922372996615,2.8070907679837,-0.160921467539421,NA,NA,NA,469.120395340841,979.074511473168,677.719574669666,6.25320146894945,6.91807633310822,6.58563890102884,-0.05036719223086,0.0995260734623271,-0.00121222497887641,0.0503711062103435,0.0245794406157336,0.260180739509566,1.03676099072371,0.642788295313902,"United States","New York","New York City",0.000772597023540279
"39",2020-04-09,NA,"7270561f",NA,7249,808,89127,5454,8336817,3,"United States","New York","New York City",FALSE,7249,4872.27056448188,6850.49700768801,5777.3242009281,8.41560619103394,8.73484037334056,8.57522328218725,-0.0553552818291341,0.0412522309880674,-0.023674478112807,0.00957142727174028,-0.00705152542053338,0.612607409006556,2.8070907679837,-0.286121347238602,NA,NA,NA,658.853612261656,1370.94247545833,950.394866441658,6.27784844879207,6.94258823449707,6.61021834164457,-0.0657664521071316,0.0840916861147373,-0.0166230043166415,0.0349482383242472,0.00916261700380284,0.405292274246113,1.03676099072371,0.239671993055192,"United States","New York","New York City",0.00086951650731928
"40",2020-04-10,NA,"7270561f",NA,7981,732,94702,5575,8336817,3,"United States","New York","New York City",FALSE,7981,4876.53131438838,6856.15372829996,5782.23558429743,8.40855343559895,8.72779007793448,8.56817175676671,-0.0590919224438642,0.037516031299004,-0.0274109741334047,0.00583508298854453,-0.0107879455724301,0.6692081271306,2.8070907679837,-0.437727619103042,NA,NA,NA,488.455319310696,1017.86281411793,705.110279236133,6.28704983302484,6.95171208427191,6.61938095864837,-0.0797023061064479,0.070131036120504,-0.0305669897440943,0.0209957197581504,-0.00478563499297192,0.549817946184175,1.03676099072371,-0.125201401636923,"United States","New York","New York City",0.000957319802029959
"41",2020-04-11,NA,"7270561f",NA,8734,753,100840,6138,8336817,3,"United States","New York","New York City",TRUE,8734,4857.26807296827,6828.82354072185,5759.29045632206,8.39776232880613,8.71700529358244,8.55738381119428,-0.063794186919832,0.032813795204507,-0.032113229302148,0.00113283758682306,-0.0154901958576625,0.73516969159294,2.8070907679837,-0.628524172162399,NA,NA,NA,431.447400374145,900.879142240314,623.443633354991,6.28228363597722,6.94690701133358,6.6145953236554,-0.0920727159029053,0.0577440671325522,-0.0429428298479899,0.00861418107763677,-0.0171643243851765,0.673320716364608,1.03676099072371,-0.449101321391297,"United States","New York","New York City",0.00104764204372004
"42",2020-04-12,NA,"7270561f",NA,9448,714,105939,5099,8336817,3,"United States","New York","New York City",TRUE,9448,4168.97893130309,5863.47050919898,4944.15665378511,8.38226738854953,8.70151984212371,8.54189361533662,-0.0688843553905337,0.0277237415017075,-0.0372033601366528,-0.00395725375217342,-0.0205803069444131,0.798157347206918,2.8070907679837,-0.835057551062653,NA,NA,NA,527.064603610724,1099.29154399857,761.181753518978,6.26512590370347,6.92973609483698,6.59743099927022,-0.102326863103877,0.047480020268654,-0.0532002234763759,-0.00164661935884718,-0.0274234214176115,0.763490645617321,1.03676099072371,-0.717576083306175,"United States","New York","New York City",0.0011332862410198
"43",2020-04-13,NA,"7270561f",NA,10096,648,109706,3767,8336817,3,"United States","New York","New York City",FALSE,10096,3630.82901648297,5105.12313537278,4305.3256802047,8.36168172829277,8.68094488849165,8.52131330839221,-0.0740876132484805,0.0225213431729871,-0.0424063361264931,-0.0091599339490003,-0.0257831350377467,0.852255475809379,2.8070907679837,-1.0461559249653,NA,NA,NA,473.218508953371,984.647505519567,682.607811562852,6.23769996964539,6.90231518605984,6.57000757785261,-0.1106280471123,0.0391738000353789,-0.0615030590297598,-0.00995118804716093,-0.0357271235384604,0.825076647612157,1.03676099072371,-0.934886675163147,"United States","New York","New York City",0.00121101374781286
"44",2020-04-14,NA,"7270561f",NA,10857,761,113632,3926,8336817,3,"United States","New York","New York City",FALSE,10857,3746.34777741144,5268.67686303281,4442.78019439653,8.33589335401486,8.65516699269406,8.49553017335446,-0.0805019722329462,0.0161087028188985,-0.048820131515126,-0.0155731378989217,-0.0321966347070239,0.904285213635426,2.8070907679837,-1.30636173311687,NA,NA,NA,510.123619938378,1062.54186723918,736.225307668879,6.20196351658491,6.8665973920434,6.53428045431415,-0.117109745760716,0.0326903957718202,-0.0679853170058823,-0.0164340329830135,-0.0422096749944479,0.865318547056118,1.03676099072371,-1.10453090286687,"United States","New York","New York City",0.00130229558835225
